puolue;ehdokas;aanet
Aurinkopuolue;Aino Aaltonen;1045
Aurinkopuolue;Pekka Peltola;809
Aurinkopuolue;Sara Salo;1451
Aurinkopuolue;Mikko Mäkinen;1891
Aurinkopuolue;Liisa Lahtinen;2193
Sinivihreät;Kalle Koski;1478
Sinivihreät;Hanna Heikkilä;1441
Sinivihreät;Timo Toivonen;2140
Sinivihreät;Elina Eskola;1770
Kotiseutuliitto;Jaakko Järvinen;1404
Kotiseutuliitto;Marja Manninen;843
Kotiseutuliitto;Ville Virtanen;924
Tulevaisuusliike;Noora Niemi;2016
Tulevaisuusliike;Antti Ahonen;1021
Tulevaisuusliike;Riikka Rantanen;1547
Tulevaisuusliike;Juha Jokinen;1554
Rauhanpuolue;Olli Ojala;1798
Rauhanpuolue;Katri Kettunen;1683
