pvm;matka;aika
2025-09-01;5.0;32:45
2025-09-03;5.0;26:53
2025-09-06;10.0;59:15
2025-09-09;3.0;18:31
2025-09-13;6.5;34:45
2025-09-16;8.0;46:51
2025-09-19;5.0;32:12
2025-09-21;3.0;18:44
2025-09-25;15.0;1:35:19
2025-09-28;5.0;30:09
2025-09-30;5.0;27:12
2025-10-02;5.0;25:05
2025-10-04;3.0;18:24
2025-10-06;10.0;53:38
2025-10-10;5.0;28:47
2025-10-12;5.0;25:14
2025-10-15;15.0;1:15:27
2025-10-19;5.0;26:58
2025-10-23;8.0;45:58
2025-10-26;15.0;1:31:23
2025-10-28;6.5;38:44
2025-11-01;15.0;1:30:58
2025-11-04;5.0;24:16
2025-11-06;15.0;1:27:26
