pvm;luokka;summa;kuvaus
2025-09-01;Asuminen;620.00;Vuokra
2025-09-01;Muu;33.07;Apteekki
2025-09-02;Muu;31.83;Lahja
2025-09-02;Vapaa-aika;51.56;Konsertti
2025-09-03;Liikenne;21.47;Pysäköinti
2025-09-08;Liikenne;27.20;Polttoaine
2025-09-08;Ruoka;58.88;Kahvila
2025-09-09;Muu;26.65;Apteekki
2025-09-09;Vapaa-aika;12.62;Kirja
2025-09-12;Vapaa-aika;31.26;Kirja
2025-09-13;Asuminen;47.91;Netti
2025-09-14;Muu;22.42;Parturi
2025-09-15;Ruoka;33.38;Pizza
2025-09-15;Liikenne;78.63;Pysäköinti
2025-09-16;Ruoka;16.57;Lounas
2025-09-17;Muu;27.11;Parturi
2025-09-17;Ruoka;38.85;Pizza
2025-09-19;Vapaa-aika;15.37;Konsertti
2025-09-19;Vapaa-aika;65.73;Kirja
2025-09-20;Vapaa-aika;31.15;Konsertti
2025-09-21;Asuminen;34.18;Sähkö
2025-09-21;Ruoka;12.39;Pizza
2025-09-22;Muu;19.28;Apteekki
2025-09-22;Ruoka;31.19;Pizza
2025-09-23;Liikenne;72.86;Polttoaine
2025-09-23;Ruoka;55.34;Kauppa
2025-09-24;Vapaa-aika;86.79;Kirja
2025-09-25;Muu;48.43;Parturi
2025-09-26;Ruoka;18.92;Pizza
2025-09-27;Ruoka;51.97;Lounas
2025-09-28;Ruoka;4.01;Kauppa
2025-09-29;Ruoka;10.77;Kauppa
2025-09-30;Muu;34.09;Parturi
2025-10-01;Asuminen;620.00;Vuokra
2025-10-02;Liikenne;62.25;Polttoaine
2025-10-03;Muu;28.20;Lahja
2025-10-04;Muu;44.05;Parturi
2025-10-06;Ruoka;11.58;Kahvila
2025-10-07;Ruoka;12.32;Lounas
2025-10-08;Muu;20.69;Apteekki
2025-10-10;Ruoka;47.09;Kauppa
2025-10-12;Vapaa-aika;43.26;Elokuvat
2025-10-13;Asuminen;63.30;Vuokra
2025-10-15;Asuminen;43.55;Netti
2025-10-17;Liikenne;5.63;Pysäköinti
2025-10-18;Ruoka;34.51;Kauppa
2025-10-18;Asuminen;72.83;Vuokra
2025-10-19;Vapaa-aika;6.74;Sali
2025-10-20;Liikenne;76.66;Bussikortti
2025-10-21;Ruoka;19.28;Pizza
2025-10-22;Ruoka;14.48;Lounas
2025-10-22;Ruoka;31.87;Pizza
2025-10-25;Asuminen;56.91;Netti
2025-10-26;Vapaa-aika;77.07;Sali
2025-10-29;Ruoka;34.52;Lounas
2025-10-30;Ruoka;12.78;Lounas
2025-10-30;Ruoka;44.10;Lounas
2025-10-31;Liikenne;54.61;Bussikortti
