pvm;lampotila
2025-08-01;17.9
2025-08-02;13.8
2025-08-03;28.3
2025-08-04;28.5
2025-08-05;27.1
2025-08-06;27.8
2025-08-07;26.3
2025-08-08;25.7
2025-08-09;26.0
2025-08-10;17.3
2025-08-11;20.1
2025-08-12;17.7
2025-08-13;11.2
2025-08-14;12.7
2025-08-15;15.5
2025-08-16;18.7
2025-08-17;17.8
2025-08-18;17.7
2025-08-19;12.5
2025-08-20;18.5
2025-08-21;13.0
2025-08-22;11.4
2025-08-23;15.1
2025-08-24;15.3
2025-08-25;13.9
2025-08-26;11.3
2025-08-27;9.2
2025-08-28;12.2
2025-08-29;14.2
2025-08-30;11.8
2025-08-31;16.5
2025-09-01;13.5
2025-09-02;7.5
2025-09-03;15.9
2025-09-04;14.9
2025-09-05;15.1
2025-09-06;13.6
2025-09-07;12.9
2025-09-08;16.8
2025-09-09;12.9
2025-09-10;13.6
2025-09-11;7.2
2025-09-12;9.5
2025-09-13;13.5
2025-09-14;10.7
2025-09-15;9.7
2025-09-16;12.3
2025-09-17;7.3
2025-09-18;10.1
2025-09-19;10.7
2025-09-20;10.2
2025-09-21;12.4
2025-09-22;11.7
2025-09-23;12.5
2025-09-24;11.6
2025-09-25;5.9
2025-09-26;5.7
2025-09-27;11.8
2025-09-28;6.3
2025-09-29;7.2
2025-09-30;9.3
2025-10-01;5.7
2025-10-02;4.7
2025-10-03;7.9
2025-10-04;9.1
2025-10-05;1.9
2025-10-06;5.7
2025-10-07;4.6
2025-10-08;7.7
2025-10-09;8.3
2025-10-10;5.7
2025-10-11;5.8
2025-10-12;-1.3
2025-10-13;10.3
2025-10-14;2.6
2025-10-15;4.6
2025-10-16;6.3
2025-10-17;5.0
2025-10-18;3.5
2025-10-19;7.2
2025-10-20;3.0
2025-10-21;3.0
2025-10-22;3.0
2025-10-23;3.0
2025-10-24;-1.5
2025-10-25;2.1
2025-10-26;2.2
2025-10-27;0.7
2025-10-28;3.0
2025-10-29;3.0
2025-10-30;-4.3
2025-10-31;0.4
